coname,gvkey,fyear,cusip,exchange,ticker,datadate,fyr,cik,date,formtype,datefiled,filepath
AAR CORP,1004,2017,36110,NYS,AIR,31-May-18,5,1750,31-May-17,DEF 14A,8/31/17,https://www.sec.gov/Archives/edgar/data/1750/0001047469-17-005474.txt
AAR CORP,1004,2018,36110,NYS,AIR,31-May-19,5,1750,31-May-18,DEF 14A,8/31/18,https://www.sec.gov/Archives/edgar/data/1750/0001206774-18-002643.txt
AAR CORP,1004,2019,36110,NYS,AIR,31-May-20,5,1750,31-May-19,DEF 14A,8/15/19,https://www.sec.gov/Archives/edgar/data/1750/0001206774-19-002678.txt
ABBOTT LABORATORIES,1078,2017,282410,NYS,ABT,31-Dec-17,12,1800,31-Dec-17,DEF 14A,3/16/18,https://www.sec.gov/Archives/edgar/data/1800/0001047469-18-001774.txt
ABBOTT LABORATORIES,1078,2018,282410,NYS,ABT,31-Dec-18,12,1800,31-Dec-18,DEF 14A,3/15/19,https://www.sec.gov/Archives/edgar/data/1800/0001047469-19-001316.txt
ABBOTT LABORATORIES,1078,2019,282410,NYS,ABT,31-Dec-19,12,1800,31-Dec-19,DEF 14A,3/13/20,https://www.sec.gov/Archives/edgar/data/1800/0001047469-20-001466.txt
ACETO CORP,1094,2017,444610,OTH,ACETQ,30-Jun-17,6,2034,30-Jun-17,DEF 14A,10/20/17,https://www.sec.gov/Archives/edgar/data/2034/0001144204-17-053354.txt
ADVANCED MICRO DEVICES,1161,2017,790310,NAS,AMD,31-Dec-17,12,2488,31-Dec-17,DEF 14A,3/19/18,https://www.sec.gov/Archives/edgar/data/2488/0001193125-18-087766.txt
ADVANCED MICRO DEVICES,1161,2018,790310,NAS,AMD,31-Dec-18,12,2488,31-Dec-18,DEF 14A,3/21/19,https://www.sec.gov/Archives/edgar/data/2488/0001193125-19-082205.txt
ADVANCED MICRO DEVICES,1161,2019,790310,NAS,AMD,31-Dec-19,12,2488,31-Dec-19,DEF 14A,3/26/20,https://www.sec.gov/Archives/edgar/data/2488/0000002488-20-000038.txt
AIR PRODUCTS & CHEMICALS INC,1209,2017,915810,NYS,APD,30-Sep-17,9,2969,30-Sep-17,DEF 14A,12/13/17,https://www.sec.gov/Archives/edgar/data/2969/0001193125-17-368026.txt
